keyword,tfidf_score
fake,344.7616978451746
pen,172.27205769087374
ai,145.7009579475496
buy,141.96127772715346
year,117.93388273290736
bluetooth,101.48992063385299
camera,101.46524401018284
bad,101.37791178843149
real,92.28134684999615
need,83.98273012322606
battery,83.65668112483291
upgrade,82.64800861993463
features,81.71122754028012
design,81.61114552950971
screen,78.93838084636091
time,78.93478517015092
years,76.89615968506926
video,71.0918132327639
think,67.09943420279107
better,65.16752937973254
did,63.69521525622977
good,60.42371439187297
price,60.02120075757099
70,59.759611023715735
crazy,58.598281975647524
know,58.592785042990606
looks,56.267545619449926
going,55.71128632830176
money,55.680592356039035
way,55.22207812265105
disappointed,53.932296968259934
stop,52.975974102127516
fake samsung,52.90174001289062
hate,52.61706402913105
boring,51.76625137722749
feature,50.62299291925251
does,50.15648895056119
worst,49.72799339016498
android,49.483414834703176
display,49.44330811569326
worse,49.40408371843629
note,49.23790080815509
getting,48.99457862297601
watching,48.79663919541276
pay,48.62757641432827
charger,48.60962954906553
spen,48.13781943133754
bluetooth pen,47.8567859588495
worth,47.80044636327136
ve,47.68277725064144
