topic_id,topic_name,top_words
0,General Samsung / Apple Discussion,"phone, new, like, need, really, don, just, dont, use, phones, software, years"
1,"AI, Battery, Camera and Feature Discussion","ai, battery, google, good, samsung, camera, phone, just, life, gemini, pixel, 70"
2,Galaxy Models / S23-S24-S25 Series,"pen, use, bluetooth, feature, samsung, spen, used, people, features, bluetooth pen, screen, phone"
3,Buying Decision / Value Discussion,"samsung, apple, phone, year, like, best, phones, video, iphone, love, design, innovation"
4,Fake Products / Screen / Camera Concerns,"ultra, s25, s24, s25 ultra, s24 ultra, galaxy, samsung, note, s22, s22 ultra, watching, upgrade"
5,S-Pen / Bluetooth Removal,"samsung, iphone, better, pro, display, phone, max, series, privacy, just, 16, android"
6,Upgrade Cycle / Yearly Phone Changes,"ultra, upgrade, s23, just, s23 ultra, phone, wait, got, s26, features, year, ai"
7,S25 vs S24 / iPhone Pro Max Comparison,"phone, fake, buy, real, just, samsung, don, bro, price, know, phones, want"
