query,label_source,relevance_labels_top_5,relevant_results,total_results,precision_at_5,avg_weighted_score,avg_similarity_score,avg_category_relevance_score,avg_lexical_relevance_score,avg_sentiment_relevance_score,avg_engagement_score
What are users saying about Samsung battery life?,manual,"[1, 1, 1, 1, 1]",5,5,1.0,0.665,0.662,0.65,0.9,0.5,0.16
Why are users unhappy about the S-Pen?,manual,"[1, 1, 1, 1, 1]",5,5,1.0,0.705,0.689,0.65,0.95,0.96,0.028
What do users think about Galaxy AI and Gemini?,manual,"[1, 1, 1, 1, 1]",5,5,1.0,0.672,0.678,0.65,0.9,0.5,0.115
Are users comparing Samsung with Apple?,manual,"[1, 1, 1, 1, 1]",5,5,1.0,0.712,0.671,0.9,0.8,0.5,0.125
What are users saying about Samsung camera quality?,manual,"[1, 0, 1, 1, 1]",4,5,0.8,0.678,0.732,0.65,0.7,0.5,0.037
What are users saying about Samsung screen or display issues?,manual,"[1, 1, 1, 0, 1]",4,5,0.8,0.642,0.643,0.65,0.65,0.96,0.0
