keyword,tfidf_score,issue_category,category_comment_count
hardware,4.610887367255224,Software / One UI,446
series,4.496506396508249,Software / One UI,446
best,63.360923551858136,Positive Feedback,1102
good,50.38704611997151,Positive Feedback,1102
love,44.71396773850155,Positive Feedback,1102
great,29.12869642183267,Positive Feedback,1102
nice,28.440528505192077,Positive Feedback,1102
amazing,21.646143749158547,Positive Feedback,1102
best phone,18.288224374164795,Positive Feedback,1102
samsung best,16.38759699721225,Positive Feedback,1102
awesome,16.18034016654132,Positive Feedback,1102
better,14.716650129431752,Positive Feedback,1102
note,14.45080031804909,Positive Feedback,1102
love samsung,13.372214240842073,Positive Feedback,1102
review,13.20224991577446,Positive Feedback,1102
time,13.171845653350292,Positive Feedback,1102
buy,13.114911273466697,Positive Feedback,1102
year,13.10945092201951,Positive Feedback,1102
watching,12.729039115462012,Positive Feedback,1102
fake,12.105321851696491,Positive Feedback,1102
70,11.638833958449165,Positive Feedback,1102
perfect,10.908070520533483,Positive Feedback,1102
screen,35.189876514568034,Display / Screen,494
display,27.625473241108704,Display / Screen,494
privacy,18.843918636742274,Display / Screen,494
fold,15.12276271432424,Display / Screen,494
green,14.009949923546072,Display / Screen,494
line,12.268721507393412,Display / Screen,494
green line,11.625301415808961,Display / Screen,494
curved,11.247220789200608,Display / Screen,494
privacy display,9.957878285016434,Display / Screen,494
privacy screen,8.169740184574884,Display / Screen,494
protector,7.915385911211486,Display / Screen,494
flat,7.838870802154943,Display / Screen,494
screen protector,7.713364327823537,Display / Screen,494
feature,7.211997926173737,Display / Screen,494
curved screen,6.082968993378177,Display / Screen,494
years,5.89404469863065,Display / Screen,494
buy,5.877333789348277,Display / Screen,494
colors,5.421743613652236,Display / Screen,494
edge,5.360297493834768,Display / Screen,494
lines,5.279162884231949,Display / Screen,494
support,9.742007562750812,Customer Support / Warranty,210
upgrade,6.9490218818467975,Customer Support / Warranty,210
buy,6.7404975686676725,Customer Support / Warranty,210
years,5.7831818736539065,Customer Support / Warranty,210
time,5.244251632121074,Customer Support / Warranty,210
going,4.8977771511235035,Customer Support / Warranty,210
year,4.774167780887169,Customer Support / Warranty,210
better,3.8149217587109625,Customer Support / Warranty,210
s22,3.747612461403147,Customer Support / Warranty,210
im,3.6690383070028556,Customer Support / Warranty,210
upgrading,3.569342215304641,Customer Support / Warranty,210
company,3.3681672337886246,Customer Support / Warranty,210
note,3.34727599905609,Customer Support / Warranty,210
series,3.001336044388311,Customer Support / Warranty,210
s22 ultra,2.705547110459302,Customer Support / Warranty,210
bought,2.554151488645633,Customer Support / Warranty,210
service,2.5527543928619183,Customer Support / Warranty,210
buying,2.546391318813674,Customer Support / Warranty,210
bring,2.4943070370991016,Customer Support / Warranty,210
customers,2.469260631376438,Customer Support / Warranty,210
flagship,11.865780761228102,Performance / Processor,331
better,10.903198985929206,Performance / Processor,331
snapdragon,10.407140181825804,Performance / Processor,331
processor,9.412060601973439,Performance / Processor,331
performance,8.572184121505833,Performance / Processor,331
exynos,5.893819517046682,Performance / Processor,331
years,5.811336849390083,Performance / Processor,331
watching,5.692711205643037,Performance / Processor,331
pixel,5.494850004345219,Performance / Processor,331
features,5.262231232515291,Performance / Processor,331
flagships,5.114952232746289,Performance / Processor,331
flagship phone,4.754448868620044,Performance / Processor,331
upgrade,4.6149024959078275,Performance / Processor,331
time,4.593164214600217,Performance / Processor,331
ram,4.35708874436929,Performance / Processor,331
price,4.325631587709474,Performance / Processor,331
slow,4.235052353345251,Performance / Processor,331
year,4.212953635322441,Performance / Processor,331
google,4.191066076013446,Performance / Processor,331
buy,3.836707977297883,Performance / Processor,331
